Name,Date,Nationality,Summary,Description
"Vo Nguyen Giap
","born Aug 25, 1911",Not found,Nation: Vietnam,Retired officer in the Vietnam People’s Army. A principal commander in the First Indochina War (1946-1954) and the Vietnam War (1960-1975).
Fidel Castro ,"born Aug 13, 1926",Not found,Nation: Cuba,Cuban communist revolutionary and politician. A key figure of the Cuban Revolution. Castro was politically a Marxist-Leninist. Cuba became a one-party socialist state under his administration.
Che Guevara ,1928-1967,Not found,Nation: Cuba,"A major figure of the Cuban Revolution. Che is an Argentine Marxist revolutionary, military theorist, diplomat, guerrilla leader, physician, and author. He is a popular symbol of counterculture and revolution."
Colin Powell ,"born Apr 5, 1937",Not found,Nation: U.S.A,"Retired four-star general in the U.S. Army and American statesman. He was the first African-American to serve as the United States Secretary of State, serving under President George W. Bush from 2001-2005"
Confucius ,551 BC-479 BC,Chinese, Developed the system known as Confucianism,"The philosophy of Confucius focused on self improvement, the morality of governing a people, justice and personal relationships with others. His collection of sayings, called analects,are well-known and mimicked in fortune cookies, although these are typically not sayings attributed to Confucius himself."
Parmenides ,c.540 BC-?,Greek, Founder of the Eleatic school of philosophy,"Wrote a philosophical poem entitled On Nature in which he discusses two ideals: The way of truth and the way of opinion. Parmenides believed the latter was inferior because it was not reliable. He theorized that the world is non-changing and when a person sees something change, it is merely an illusion."
Mozi ,c.470 BC- c.391 BC,Chinese, Father of Mohism,"Mohism was one of the four major schools of thought during China’s ancient Spring and Autumn Period. Some of the concepts in Mohism include impartial care, a rejection of fatalism, and a denial of extravagant funerals and the arts because these things take away from tending to the crops and other productive chores."
Socrates ,c.469 BC-c.399 BC,Greek, One of the founders of Western Philosophy,"Socrates created the Socratic Method which is commonly used for determining the ethics of an issue. With this method, a problem is broken up into parts with various questions which help a person determine their underlying beliefs. He also believed that people should ideally live to better themselves rather than seek material wealth."
Plato ,c.428 BC-c.348 BC,Greek, Theory of the Tripartite Soul,"As one of the founders of Western thought, Plato helped shape ideas about government and societies throughout the centuries. His The Republic talked about justice and the state’s role in society and in the lives of people. He also believed in the immortality of the soul."
Aristotle ,384 BC-322 BC,Greek, Wrote the Nicomachean Ethics about practical ethics,"One of Aristotle’s recurring themes in his philosophical ideas is teleology, or the belief that the best way to understand something is to understand the purpose that it serves. He is also credited with creating the field of formal logic and the scientific method."
Epicurus ,341 BC-270 BC,Greek, Founder of the Epicureanism school of philosophy,"Epicurus believed that happiness revolved around three main things in life: positive relationships with others, individual freedom, and an analytical reflection on our lives. None of Epicurus’ written works survived, but his ideas were passed down through his students."
Origen ,c.185-c. 253,Egyptian, Argued for the existence of a Trinity in Christian belief,"Origen was a theology philosopher who strictly believed what the Bible had to say. His writings, such as On First Principles and his various commentaries on books of the Bible show him to be a defender of the Scriptures as he discusses ideas like free will, the restoration of the soul and more."
"Saint Augustine of Hippo
",354-430,North, First Christian theologian to connect Plato’s ideas to church doctrine,"In his writings, Saint Augustine of Hippo discussed many issues of the Christian faith. In his discourse on the issue of free will, he argued that humans have personal responsibility and God’s infinite wisdom has no bearing on our actions. For the original sin argument, he believed there was no evil force, but evil merely exists in the absence of good."
Avicenna ,c.980-1037,Persian, Helped bring the works and ideas of Aristotle to Europe,"Avicenna was an early Islamic philosopher who wrote extensively on the topics of ethics, metaphysics, and logic. Around the 12th century, he became the leader in philosophical thought in the Middle East. His ideas came to be known as Avicennism."
Thomas Aquinas ,1225-1274,Italian, Fathered the school of thought entitled Thomism,"Aquinas theorized that it was possible to prove the existence of God through five proofs. Some of these proofs include motion, regression of causes to the original cause, a descending order of perfection and othres. He is credited with helping bridge the gap between faith and reason."
Niccolo Machiavelli ,1469-1527,Italian," Wrote The Prince, a book on how a ruler can retain control","The term “machiavellianism” is named after Machiavelli and his philosophy, which can be summed up by the phrase “the end justifies the means.” He advocated for rulers to have the characteristics of ruthlessness and control rather than justice and compassion."
John Calvin ,1509-1564,French," Developed Calvinism, a major branch of Christian theology",One of the major tenets of Calvin’s philosophy concerning Christianity is the concept of predestination. This term refers to Calvin’s belief that God has already chosen those who will go to Heaven or Hell regardless of what they do during their lives on earth.
Francis Bacon ,1561-1626,English, The Father of Empiricism,Bacon’s philosophy was that it was nearly impossible for most people to see the world as it really is because they cannot set aside their prejudices and their preconceptions. He said any obstacles that distract from seeing the world objectively were idols. His idea can be summarized by the phrase “everything is not as it appears.”
Thomas Hobbes ,1588-1679,English, Wrote Leviathan,Hobbes’ book Leviathan was one of the more influential writings concerning the social contract theory and Western philosophy. He was a strong advocate of the rights of the individual and the idea that everybody was equal.
